ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,TX,HANSFORD,208,$740 ,$409 , $- ,$26 , $- , $- ,$0 ,$305 ,43
16,TX,HARDEMAN,204,"$1,863 ","$1,247 ", $- ,$63 , $- , $- ,$4 ,$550 ,79
16,TX,HARDIN,"4,210","$27,049 ","$15,719 ", $- ,"$1,491 ", $- , $- ,$157 ,"$9,682 ","1,191"
16,TX,HARRIS,"181,297","$1,613,029 ","$720,986 ","$3,974 ","$163,289 ", $- ,"$82,701 ","$13,166 ","$628,912 ","48,811"
16,TX,HARRISON,"4,525","$32,967 ","$18,192 ", $- ,"$1,506 ", $- , $- ,$136 ,"$13,133 ","1,480"
16,TX,HARTLEY,244,$823 ,$279 , $- ,$1 , $- , $- ,$0 ,$542 ,68
16,TX,HASKELL,291,"$2,329 ","$1,336 ", $- ,$11 , $- , $- ,$26 ,$956 ,107
16,TX,HAYS,"12,452","$103,850 ","$61,522 ", $- ,"$15,484 ", $- , $- ,$961 ,"$25,883 ","3,143"
16,TX,HEMPHILL,206,$695 ,$353 , $- ,$67 , $- , $- ,$10 ,$264 ,45
16,TX,HENDERSON,"6,820","$50,575 ","$26,547 ", $- ,"$1,716 ", $- , $- ,$302 ,"$22,011 ","2,048"
16,TX,HIDALGO,"21,164","$260,543 ","$146,662 ", $- ,"$16,203 ", $- , $- ,"$1,267 ","$96,411 ","9,290"
16,TX,HILL,"2,779","$27,839 ","$15,290 ", $- ,$749 , $- , $- ,$146 ,"$11,654 ","1,062"
16,TX,HOCKLEY,"1,098","$8,309 ","$5,064 ", $- ,$620 , $- , $- ,$82 ,"$2,543 ",395
16,TX,HOOD,"5,632","$37,998 ","$23,465 ", $- ,"$1,700 ", $- , $- ,$344 ,"$12,489 ","1,559"
16,TX,HOPKINS,"2,433","$19,873 ","$10,410 ", $- ,$931 , $- , $- ,$130 ,"$8,401 ",833
16,TX,HOUSTON,"1,761","$15,147 ","$9,105 ", $- ,$588 , $- , $- ,$50 ,"$5,404 ",559
16,TX,HOWARD,"2,385","$34,584 ","$14,345 ",$3 ,$790 , $- ,$816 ,$172 ,"$18,457 ","1,283"
16,TX,HUDSPETH,144,"$1,713 ",$933 , $- ,$65 , $- , $- ,$3 ,$712 ,113
16,TX,HUNT,"7,627","$58,039 ","$27,652 ", $- ,"$4,270 ", $- , $- ,$380 ,"$25,738 ","2,415"
16,TX,HUTCHINSON,"1,437","$13,027 ","$5,839 ", $- ,$255 , $- , $- ,$91 ,"$6,841 ",576
16,TX,IRION,113,$847 ,$553 , $- ,$7 , $- , $- , $- ,$287 ,51
16,TX,JACK,523,"$3,074 ","$1,379 ", $- ,$75 , $- , $- ,$1 ,"$1,620 ",184
16,TX,JACKSON,914,"$5,172 ","$3,176 ", $- ,$185 , $- , $- ,$23 ,"$1,788 ",231
